address,version,token_x,token_y,decimals_x,decimals_y,bin_step,base_fee_bps,liquidity_usd,symbol_x,symbol_y
0x6f7b94aa198077a344f24f7d0bb19978dd3d3362,v2.2,0xe9af89fce0728b2b1fb4727ea6f74df479c99061,0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7,18,6,100,80,9077128.925403565,LCPEDU,USDt
0x8573f98175d816d520248b5facf40d309b1c9cee,v2.2,0x00000000efe302beaa2b3e6e1b18d08d69a9012a,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,6,6,1,1,4945290.063972247,AUSD,USDC
0xcec377285abf370fdf872625d2742252656d631a,v2.2,0x00000000efe302beaa2b3e6e1b18d08d69a9012a,0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7,6,6,1,1,3141538.095803296,AUSD,USDt
0x864d4e5ee7318e97483db7eb0912e09f161516ea,v2.2,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,18,6,10,5,2970534.4942133552,WAVAX,USDC
0x2823299af89285ff1a1abf58db37ce57006fef5d,v2.2,0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,6,6,1,1,1574583.7909563782,USDt,USDC
0x4224f6f4c9280509724db2dbac314621e4465c29,v2.1,0x152b9d0fdc40c096757f570a51e494bd4b943e50,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,8,6,10,5,633308.4288633645,BTC.b,USDC
0x856b38bf1e2e367f747dd4d3951dda8a35f1bf60,v2.2,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,0x152b9d0fdc40c096757f570a51e494bd4b943e50,18,8,5,5,543496.4834684323,WAVAX,BTC.b
0x883ea72c2a46f7acb3820855344c43666c6cc5c0,v2.2,0x2b2c81e08f1af8835a78bb2a90ae924ace0ea4be,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18,18,5,1,365181.93454687763,sAVAX,WAVAX
0xbd26e663281fb35d4757219eb180f02e8a065c09,v2.2,0x26debd39d5ed069770406fca10a0e4f8d2c743eb,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18,18,25,25,310922.0374148274,GUN,WAVAX
0xf0ef15733904131eb39790e64fa3c7575b41abfe,v2.2,0x2775d5105276781b4b85ba6ea6a6653beed1dd32,0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7,6,6,5,4,306493.6059380739,XAUt0,USDt
0xb2a765cbde23b871ffdea95880c8bea979720d36,v2.1,0x50b7545627a5162f82a992c33b87adc75187b218,0x152b9d0fdc40c096757f570a51e494bd4b943e50,8,8,2,3,273696.43628857465,WBTC.e,BTC.b
0x9b2cc8e6a2bbb56d6be4682891a91b0e48633c72,v2.1,0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,6,6,1,1,180716.06767721887,USDt,USDC
0xa78c3e56afb8d34a536825e2497255e78b388619,v2.2,0xb8d7710f7d8349a506b75dd184f05777c82dad0c,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18,18,100,1,176022.95836859537,ARENA,WAVAX
0x87eb2f90d7d0034571f343fb7429ae22c1bd9f72,v2.1,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7,18,6,20,20,118220.03367474039,WAVAX,USDt
0xe92c7661e51121f167d7b36ed07d297e3792a95f,v2.2,0x00000000efe302beaa2b3e6e1b18d08d69a9012a,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,6,18,10,10,58752.350126639605,AUSD,WAVAX
0xe2b11d3002a2e49f1005e212e860f3b3ec73f985,v2.1,0xc7198437980c041c805a1edcba50c1ce5db95118,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,6,6,1,2,46318.5531071598,USDT.e,USDC
0x6fe050dc81b98e4464d3b4461a7995a8bf3350db,v2.1,0xc7198437980c041c805a1edcba50c1ce5db95118,0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7,6,6,1,2,43894.73327693375,USDT.e,USDt
0xcd4f57d6b160b4ef2dfb78ad1c76cc4242edb4ce,v2.2,0xc891eb4cbdeff6e073e859e987815ed1505c2acd,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,6,6,2,3,29820.912660635044,EURC,USDC
0x2f1da4bafd5f2508ec2e2e425036063a374993b6,v2.1,0xd586e7f844cea2f87f50152665bcbc2c279d8d70,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,18,6,1,2,27072.54618426281,DAI.e,USDC
