id,address,name,symbol,decimals
0,0x6aa38edd7f32a28b7b2c2dc86fc5b0bf2ae61579,Super Champs,CHAMP,18
1,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,USD Coin,USDC,6
2,0x09fa58228bb791ea355c90da1e4783452b9bd8c3,SuperVerse,SUPER,18
3,0xacfb898cff266e53278cc0124fc2c7c94c8cb9a5,AVAX HAS NO CHILL,NOCHILL,18
4,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,Wrapped AVAX,WAVAX,18
5,0x5c09a9ce08c4b332ef1cc5f7cadb1158c32767ce,Fantom Bomb,fBOMB,18
6,0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab,Wrapped Ether,WETH.e,18
7,0x9b9fd410d5f01a6a60acf4678a5a99d8027fa5a7,Mythos,MYTH,18
8,0x9b3a8159e119eb09822115ae08ee1526849e1116,Meme Alliance,MMA,18
9,0x152b9d0fdc40c096757f570a51e494bd4b943e50,Bitcoin,BTC.b,8
10,0x79bbf4508b1391af3a0f4b30bb5fc4aa9ab0e07c,HeyAnon,Anon,18
11,0x8729438eb15e2c8b576fcc6aecda6a148776c0f5,BENQI,QI,18
12,0x46b9144771cb3195d66e4eda643a7493fadcaf9d,BloodLoop Shard,BLS,18
13,0xffff003a6bad9b743d658048742935fffe2b6ed7,yellow ket,KET,18
14,0x34a528da3b2ea5c6ad1796eba756445d1299a577,Integrity DAO,ID,18
15,0x26debd39d5ed069770406fca10a0e4f8d2c743eb,GUNZ,GUN,18
16,0x432d38f83a50ec77c409d086e97448794cf76dcf,Heresy,HERESY,18
17,0x9209e7ebd056d72c5996220e99df6049253debcf,MEOW,MEOW,18
18,0x420fca0121dc28039145009570975747295f2329,COQINU,COQ,18
19,0x6f43ff77a9c0cf552b5b653268fbfe26a052429b,LAMBO,LAMBO,18
20,0xb8d7710f7d8349a506b75dd184f05777c82dad0c,ArenaToken,ARENA,18
21,0x2b2c81e08f1af8835a78bb2a90ae924ace0ea4be,Staked AVAX,sAVAX,18
22,0x153374c6d6786b6ca2c4bc96f9c3a471428f2bc7,Wilder World,WILD,18
23,0x5ddc8d968a94cf95cfeb7379f8372d858b9c797d,WOLFI,WOLFI,18
24,0xb02f37a282c028958de65711158422199a61e9ae,SeedifyFund,SFUND,18
