protocol,address,token0_symbol,token1_symbol,tickSpacing,fee,token0_address,token1_address,decimals0,decimals1,dex
UniswapV3CL,0x3238c869e890764afeff6912fc9f58f512b90433,p33,WAVAX,200,20000,0x26e9dbe75aed331e41272bece932ff1b48926ca9,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18,18,pharaoh
UniswapV3CL,0x5ca009013f6b898d134b6798b336a4592f3b4af2,BTC.b,WAVAX,5,500,0x152b9d0fdc40c096757f570a51e494bd4b943e50,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,8,18,pharaoh
UniswapV3CL,0x65b9016c376604fe0af38c1e336ffcec0f8ecbbd,sAVAX,WAVAX,1,100,0x2b2c81e08f1af8835a78bb2a90ae924ace0ea4be,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18,18,pharaoh
UniswapV3CL,0x71bd752508936dea5a032991f4a2997a506b1cde,BTC.b,USDC,5,600,0x152b9d0fdc40c096757f570a51e494bd4b943e50,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,8,6,pharaoh
UniswapV3CL,0x9b214d9c2872b5cd33f548aadb9c5396fa7e8546,HEFE,USDC,100,10000,0x18e3605b13f10016901eac609b9e188cf7c18973,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,18,6,pharaoh
UniswapV3CL,0x9bfe3108cc16d17a9ec65545a0f50b2ca1c970c0,USDt,USDC,1,42,0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,6,6,pharaoh
UniswapV3CL,0xb78da03566b6537acc22f6a4ba070abcf6edebf6,PHAR,WAVAX,5,10101,0x13a466998ce03db73abc2d4df3bbd845ed1f28e7,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18,18,pharaoh
UniswapV3CL,0xc9bfc3cda285a75b32d5b787618128db963de675,avUSD,USDC,1,100,0x24de8771bc5ddb3362db529fc3358f2df3a0e346,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,18,6,pharaoh
UniswapV3CL,0xd3a62913062c9187cd86d4826591d47811d1d969,USDC,UTY,5,250,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,0xdbc5192a6b6ffee7451301bb4ec312f844f02b4a,6,18,pharaoh
UniswapV3CL,0xf01449c0ba930b6e2caca3def3ccbd7a3e589534,WAVAX,USDC,10,460,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,18,6,pharaoh
UniswapV3CL,0xff0855a9027f5f5c2bbacc4aac477afbeeefbea9,WETH.e,WAVAX,5,380,0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18,18,pharaoh
