2026-02-23T21:25:56Z | block=78824943 | kind=Triangular | hops=Algebra→Algebra→Algebra | token=WAVAX | idx=255 | profit=0.007821898824489254 WAVAX | amount_in=18 | p1=0xc13f…4332 | p2=0x259d…d7fa | p3=0x533f…c07f
2026-02-23T21:33:42Z | block=78808522 | kind=Triangular | hops=V2→V2→V3CL | token=WAVAX | idx=83 | profit=0.321767607451001466 WAVAX | amount_in=4 | p1=0xb46a…f8f5 | p2=0xfff3…84f0 | p3=0xff08…bea9
2026-02-23T21:33:50Z | block=78808522 | kind=Triangular | hops=Algebra→V2→Algebra | token=USDT | idx=483 | profit=265.346472 USDT | amount_in=4905 | p1=0xc13f…4332 | p2=0x737f…a37d | p3=0x1abe…7d29
2026-02-23T21:33:58Z | block=78808523 | kind=Triangular | hops=V2→V2→V3CL | token=WAVAX | idx=83 | profit=0.321761873423740992 WAVAX | amount_in=4 | p1=0xb46a…f8f5 | p2=0xfff3…84f0 | p3=0xff08…bea9
2026-02-23T21:34:05Z | block=78808523 | kind=Triangular | hops=Algebra→Algebra→V3CL | token=USDC | idx=338 | profit=0.639775 USDC | amount_in=159 | p1=0x4110…6fc7 | p2=0xc13f…4332 | p3=0x9bfe…70c0
2026-02-23T21:34:15Z | block=78808523 | kind=Triangular | hops=Algebra→V2→Algebra | token=USDT | idx=483 | profit=231.738835 USDT | amount_in=4598 | p1=0xc13f…4332 | p2=0x737f…a37d | p3=0x1abe…7d29
2026-02-23T21:34:22Z | block=78808524 | kind=Triangular | hops=V2→V2→V3CL | token=WAVAX | idx=83 | profit=0.321756854441491655 WAVAX | amount_in=4 | p1=0xb46a…f8f5 | p2=0xfff3…84f0 | p3=0xff08…bea9
2026-02-23T21:34:22Z | block=78808524 | kind=Triangular | hops=V2→V2→Algebra | token=WAVAX | idx=82 | profit=0.320736089174013017 WAVAX | amount_in=4 | p1=0xb46a…f8f5 | p2=0xfff3…84f0 | p3=0x5e12…0d78
2026-02-23T21:34:22Z | block=78808524 | kind=Cross-dex | hops=V2→V3CL | token=WAVAX | idx=237 | profit=32.95203198952424487 WAVAX | amount_in=607 | p1=0x737f…a37d | p2=0xff08…bea9 | p3=0x737f…a37d
2026-02-23T21:34:22Z | block=78808524 | kind=Cross-dex | hops=V2→Algebra | token=WAVAX | idx=236 | profit=32.773397545983130765 WAVAX | amount_in=605 | p1=0x737f…a37d | p2=0x5e12…0d78 | p3=0x737f…a37d
2026-02-23T21:34:22Z | block=78808524 | kind=Triangular | hops=V2→V2→V2 | token=WAVAX | idx=24 | profit=7.874358832319501868 WAVAX | amount_in=165 | p1=0x737f…a37d | p2=0x0c12…cc38 | p3=0x14e4…d573
2026-02-23T21:34:22Z | block=78808524 | kind=Triangular | hops=V2→Algebra→Algebra | token=WAVAX | idx=26 | profit=23.109924446650858623 WAVAX | amount_in=491 | p1=0x737f…a37d | p2=0x1abe…7d29 | p3=0xc13f…4332
2026-02-23T21:34:23Z | block=78808524 | kind=Triangular | hops=V2→V2→V2 | token=WAVAX | idx=23 | profit=0.513684765802436723 WAVAX | amount_in=11 | p1=0x737f…a37d | p2=0xbbb9…1d3e | p3=0x15c5…7477
2026-02-23T21:34:23Z | block=78808524 | kind=Triangular | hops=V2→V2→V2 | token=WAVAX | idx=22 | profit=0.594251902445653555 WAVAX | amount_in=15 | p1=0x737f…a37d | p2=0x921c…f1b3 | p3=0x0e5a…669a
2026-02-23T21:34:24Z | block=78808524 | kind=Triangular | hops=V2→V2→V2 | token=WAVAX | idx=81 | profit=0.020684987439304923 WAVAX | amount_in=1 | p1=0xb46a…f8f5 | p2=0xfff3…84f0 | p3=0x737f…a37d
2026-02-23T21:34:31Z | block=78808524 | kind=Triangular | hops=Algebra→Algebra→V3CL | token=USDC | idx=338 | profit=1.485788 USDC | amount_in=159 | p1=0x4110…6fc7 | p2=0xc13f…4332 | p3=0x9bfe…70c0
2026-02-23T21:34:38Z | block=78808524 | kind=Triangular | hops=Algebra→V2→Algebra | token=USDT | idx=483 | profit=203.589797 USDT | amount_in=4323 | p1=0xc13f…4332 | p2=0x737f…a37d | p3=0x1abe…7d29
