2026-02-25T04:18:14Z | block=42601872 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1115 | profit=0.001331207586104136 WETH | amount_in=0.507 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:18:16Z | block=42601873 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1115 | profit=0.001307356937305349 WETH | amount_in=0.503 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:18:18Z | block=42601874 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1115 | profit=0.001303880396684187 WETH | amount_in=0.502 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:18:20Z | block=42601875 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1115 | profit=0.001411039249296881 WETH | amount_in=0.519 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:18:20Z | block=42601875 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1114 | profit=0.001300904633744473 WETH | amount_in=0.502 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:18:22Z | block=42601876 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1115 | profit=0.001589239649659333 WETH | amount_in=0.555 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:18:22Z | block=42601876 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1114 | profit=0.001473962363305964 WETH | amount_in=0.536 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:18:22Z | block=42601876 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1116 | profit=0.001441798725865682 WETH | amount_in=0.528 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x7aea…abd1
2026-02-25T04:18:22Z | block=42601876 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2089 | profit=0.001439530824325673 WETH | amount_in=0.511 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:18:24Z | block=42601877 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1114 | profit=0.001473974791891504 WETH | amount_in=0.536 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:18:26Z | block=42601878 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1115 | profit=0.001546875182809638 WETH | amount_in=0.542 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:18:26Z | block=42601878 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1114 | profit=0.001432126585419532 WETH | amount_in=0.525 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:18:26Z | block=42601878 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1116 | profit=0.001400983649738641 WETH | amount_in=0.517 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x7aea…abd1
2026-02-25T04:18:26Z | block=42601878 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=2089 | profit=0.001401056563726173 WETH | amount_in=0.503 | p1=0x9c08…b903 | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:18:28Z | block=42601879 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1115 | profit=0.001543789198416527 WETH | amount_in=0.542 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x22ae…91d5
2026-02-25T04:18:28Z | block=42601879 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1114 | profit=0.001429574354704082 WETH | amount_in=0.524 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x70ac…bae1
2026-02-25T04:18:28Z | block=42601879 | kind=Triangular | hops=V3CL→V2→V3CL | token=WETH | idx=1116 | profit=0.001396891658414465 WETH | amount_in=0.519 | p1=0x3f02…014a | p2=0xb909…8b4a | p3=0x7aea…abd1
