2026-02-25T10:57:19Z | block=42613844 | kind=Cross-dex | hops=V3CL→V3CL | token=WETH | idx=5322 | profit=0.000296218338530463 WETH | amount_in=1.837 | p1=0x72ab…2d38 | p2=0xdbc6…30f1 | p3=0x72ab…2d38
2026-02-25T10:57:19Z | block=42613844 | kind=Cross-dex | hops=V3CL→V3CL | token=USDC | idx=10115 | profit=0.566538 USDC | amount_in=3514.116 | p1=0xdbc6…30f1 | p2=0x72ab…2d38 | p3=0xdbc6…30f1
2026-02-25T10:57:23Z | block=42613846 | kind=Cross-dex | hops=V3CL→V3CL | token=WETH | idx=5322 | profit=0.00030340220991776 WETH | amount_in=1.856 | p1=0x72ab…2d38 | p2=0xdbc6…30f1 | p3=0x72ab…2d38
2026-02-25T10:57:23Z | block=42613846 | kind=Cross-dex | hops=V3CL→V3CL | token=USDC | idx=10115 | profit=0.580277 USDC | amount_in=3547.492 | p1=0xdbc6…30f1 | p2=0x72ab…2d38 | p3=0xdbc6…30f1
2026-02-25T10:57:25Z | block=42613847 | kind=Cross-dex | hops=V3CL→V3CL | token=WETH | idx=5322 | profit=0.000396324173785944 WETH | amount_in=2.084 | p1=0x72ab…2d38 | p2=0xdbc6…30f1 | p3=0x72ab…2d38
2026-02-25T10:57:25Z | block=42613847 | kind=Cross-dex | hops=V3CL→V3CL | token=USDC | idx=10115 | profit=0.758001 USDC | amount_in=3981.379 | p1=0xdbc6…30f1 | p2=0x72ab…2d38 | p3=0xdbc6…30f1
2026-02-25T10:57:27Z | block=42613848 | kind=Cross-dex | hops=V3CL→V3CL | token=WETH | idx=5322 | profit=0.000379165379169006 WETH | amount_in=2.044 | p1=0x72ab…2d38 | p2=0xdbc6…30f1 | p3=0x72ab…2d38
2026-02-25T10:57:27Z | block=42613848 | kind=Cross-dex | hops=V3CL→V3CL | token=USDC | idx=10115 | profit=0.725184 USDC | amount_in=3906.368 | p1=0xdbc6…30f1 | p2=0x72ab…2d38 | p3=0xdbc6…30f1
2026-02-25T10:57:29Z | block=42613849 | kind=Cross-dex | hops=V3CL→V3CL | token=WETH | idx=5322 | profit=0.000370145428770125 WETH | amount_in=2.023 | p1=0x72ab…2d38 | p2=0xdbc6…30f1 | p3=0x72ab…2d38
2026-02-25T10:57:29Z | block=42613849 | kind=Cross-dex | hops=V3CL→V3CL | token=USDC | idx=10115 | profit=0.707933 USDC | amount_in=3865.948 | p1=0xdbc6…30f1 | p2=0x72ab…2d38 | p3=0xdbc6…30f1
2026-02-25T10:57:32Z | block=42613850 | kind=Cross-dex | hops=V3CL→V3CL | token=WETH | idx=5322 | profit=0.000357150195726355 WETH | amount_in=1.991 | p1=0x72ab…2d38 | p2=0xdbc6…30f1 | p3=0x72ab…2d38
2026-02-25T10:57:32Z | block=42613850 | kind=Cross-dex | hops=V3CL→V3CL | token=USDC | idx=10115 | profit=0.683078 USDC | amount_in=3806.215 | p1=0xdbc6…30f1 | p2=0x72ab…2d38 | p3=0xdbc6…30f1
2026-02-25T10:57:33Z | block=42613851 | kind=Cross-dex | hops=V3CL→V3CL | token=WETH | idx=5322 | profit=0.000564326473262013 WETH | amount_in=2.441 | p1=0x72ab…2d38 | p2=0xdbc6…30f1 | p3=0x72ab…2d38
2026-02-25T10:57:33Z | block=42613851 | kind=Cross-dex | hops=V3CL→V3CL | token=USDC | idx=10115 | profit=1.079312 USDC | amount_in=4668.993 | p1=0xdbc6…30f1 | p2=0x72ab…2d38 | p3=0xdbc6…30f1
2026-02-25T10:57:38Z | block=42613853 | kind=Cross-dex | hops=V3CL→V3CL | token=WETH | idx=5322 | profit=0.000785793824585946 WETH | amount_in=2.851 | p1=0x72ab…2d38 | p2=0xdbc6…30f1 | p3=0x72ab…2d38
2026-02-25T10:57:38Z | block=42613853 | kind=Triangular | hops=V3CL→V3CL→V3CL | token=WETH | idx=4485 | profit=0.000353413841507159 WETH | amount_in=1.754 | p1=0xc211…b3f3 | p2=0xb94b…b3df | p3=0xdbc6…30f1
2026-02-25T10:57:38Z | block=42613853 | kind=Cross-dex | hops=V3CL→V3CL | token=USDC | idx=10115 | profit=1.502845 USDC | amount_in=5453.016 | p1=0xdbc6…30f1 | p2=0x72ab…2d38 | p3=0xdbc6…30f1
2026-02-25T10:57:39Z | block=42613854 | kind=Cross-dex | hops=V3CL→V3CL | token=WETH | idx=5322 | profit=0.000785421142957722 WETH | amount_in=2.851 | p1=0x72ab…2d38 | p2=0xdbc6…30f1 | p3=0x72ab…2d38
2026-02-25T10:57:40Z | block=42613854 | kind=Triangular | hops=V3CL→V3CL→V3CL | token=WETH | idx=4485 | profit=0.000353174173324708 WETH | amount_in=1.754 | p1=0xc211…b3f3 | p2=0xb94b…b3df | p3=0xdbc6…30f1
2026-02-25T10:57:40Z | block=42613854 | kind=Cross-dex | hops=V3CL→V3CL | token=USDC | idx=10115 | profit=1.502132 USDC | amount_in=5451.803 | p1=0xdbc6…30f1 | p2=0x72ab…2d38 | p3=0xdbc6…30f1
2026-02-25T10:57:41Z | block=42613855 | kind=Cross-dex | hops=V3CL→V3CL | token=WETH | idx=5322 | profit=0.000767848864244389 WETH | amount_in=2.823 | p1=0x72ab…2d38 | p2=0xdbc6…30f1 | p3=0x72ab…2d38
2026-02-25T10:57:41Z | block=42613855 | kind=Triangular | hops=V3CL→V3CL→V3CL | token=WETH | idx=4485 | profit=0.000342369852742283 WETH | amount_in=1.715 | p1=0xc211…b3f3 | p2=0xb94b…b3df | p3=0xdbc6…30f1
2026-02-25T10:57:41Z | block=42613855 | kind=Cross-dex | hops=V3CL→V3CL | token=USDC | idx=10115 | profit=1.468528 USDC | amount_in=5393.818 | p1=0xdbc6…30f1 | p2=0x72ab…2d38 | p3=0xdbc6…30f1
2026-02-25T10:57:43Z | block=42613856 | kind=Cross-dex | hops=V3CL→V3CL | token=WETH | idx=5322 | profit=0.000760353127717931 WETH | amount_in=2.808 | p1=0x72ab…2d38 | p2=0xdbc6…30f1 | p3=0x72ab…2d38
2026-02-25T10:57:43Z | block=42613856 | kind=Triangular | hops=V3CL→V3CL→V3CL | token=WETH | idx=4485 | profit=0.000337776927281811 WETH | amount_in=1.715 | p1=0xc211…b3f3 | p2=0xb94b…b3df | p3=0xdbc6…30f1
