protocol,address,token0_symbol,token1_symbol,tickSpacing,fee,token0_address,token1_address,decimals0,decimals1,dex
PancakeSwapV3,0x33b8adb0b9f6d2ba5bd4bd2586b3ac318ef42996,test3,WBNB,200,10000,0x4dde94c5fae7f878d63cac1b43ab0c7f4d77a704,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,PancakeSwapV3
PancakeSwapV3,0x09450fc7e884eb28b53114b888c94845419de323,WBNB,test2,200,10000,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xbc6caf4e3d994776ca3db62e7a80ded17855d9d5,18,18,PancakeSwapV3
PancakeSwapV3,0xcd7ca6290fcdf554d93917f48c4b286ed63e3651,test1,WBNB,200,10000,0x91e04ef706b7d8a18fd560c7be53bcf3b3bcedb0,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,PancakeSwapV3
UniswapV3CL,0xfb900fa6f8ca3fcdff8f20956f7490c989af8932,WBNB,Efik,200,10000,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xccbfa0d59551010e1eef983580f34e8d014df9e6,18,18,UniswapV3CL
UniswapV3CL,0xbb46860d72ec28d9a889b356e9f13f18a8ceceeb,WBNB,USDT,200,10000,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xca8f9939f864b61b765e8910ac1279caed53fb02,18,18,UniswapV3CL
PancakeSwapV3,0xe4b1905ab1fba742447ae2fe5d0b9ff15975779f,WBNB,FAG,200,10000,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xf5f7687b05f8857ee8ba09995ba133187f8ae348,18,18,PancakeSwapV3
PancakeSwapV3,0x82591384571010e09d930190a11ed134f73b6459,FAG,WBNB,200,10000,0x1372be7a6a50b993eb4cdaa356dc19af15221442,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,PancakeSwapV3
UniswapV3CL,0x2ab2f10f294678e87c53c59d5124062bd2aa4c91,MoonCoin,WBNB,200,10000,0x1be3e8474aded1d3f86123492f05ab45384fd120,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,UniswapV3CL
PancakeSwapV3,0x18283a067589f8fa31b0760ae00d8fb4618204ca,WBNB,CHEERS,200,10000,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xfd3d4f266a98b8837a8d84e5818572e1fd181cf2,18,18,PancakeSwapV3
PancakeSwapV3,0x0b7fdec74f3145845235cc81f7a38941ddc186d3,XXX,WBNB,200,10000,0x44076695f34fd958cf7d7ba99eef8d5597ee7044,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,PancakeSwapV3
